,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,6.017,0.287,5.554,6.477,0.006,0.004,2647.0,1916.0,1.0
beta,1.036,0.035,1.0,1.084,0.001,0.001,2243.0,2620.0,1.0
mu,5.806,0.22,5.45,6.173,0.003,0.002,5129.0,5181.0,1.0
sigma,2.367,0.062,2.264,2.465,0.001,0.001,4474.0,5105.0,1.0
