,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha[0],3.848,0.448,3.121,4.569,0.011,0.008,1726.0,2234.0,1.0
alpha[1],4.413,0.583,3.503,5.304,0.015,0.01,1608.0,2151.0,1.0
beta[0],1.207,0.149,1.001,1.413,0.004,0.003,1601.0,1918.0,1.0
beta[1],1.225,0.163,1.0,1.456,0.004,0.003,1375.0,1436.0,1.0
mu[0],3.198,0.217,2.856,3.565,0.003,0.002,4654.0,3075.0,1.0
mu[1],3.61,0.244,3.212,4.015,0.003,0.002,5329.0,3302.0,1.0
sigma[0],1.637,0.125,1.436,1.839,0.003,0.002,2108.0,2607.0,1.0
sigma[1],1.727,0.135,1.521,1.959,0.003,0.002,1955.0,2713.0,1.0
