,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha[0],5.844,0.827,4.455,7.174,0.014,0.01,3378.0,2701.0,1.0
alpha[1],6.74,1.039,5.034,8.448,0.019,0.013,3236.0,3425.0,1.0
beta[0],1.71,0.218,1.393,2.0,0.004,0.003,2927.0,3008.0,1.0
beta[1],1.692,0.22,1.371,2.0,0.004,0.003,3008.0,3158.0,1.0
mu[0],3.424,0.294,2.953,3.92,0.003,0.002,9092.0,6299.0,1.0
mu[1],3.984,0.326,3.415,4.481,0.003,0.002,8766.0,6543.0,1.0
sigma[0],1.424,0.128,1.228,1.625,0.002,0.001,4022.0,4193.0,1.0
sigma[1],1.544,0.128,1.343,1.743,0.002,0.001,4088.0,4321.0,1.0
