,Direct Sampling,Direct Sampling,Direct Sampling,MvN-approx.,MvN-approx.,MvN-approx.,Meta-analysis,Meta-analysis,Meta-analysis
,mean,sd,hdi,mean,sd,hdi,mean,sd,hdi
alpha,3.04,0.09,"[2.91, 3.19]",4.44,0.44,"[3.75, 5.14]",3.72,1.00,"[2.07, 5.25]"
beta,0.90,0.02,"[0.86, 0.93]",1.44,0.18,"[1.15, 1.72]",1.05,0.20,"[0.73, 1.37]"
mu,3.40,0.12,"[3.21, 3.58]",3.11,0.19,"[2.80, 3.43]",3.51,0.43,"[2.79, 4.20]"
sigma,1.95,0.05,"[1.86, 2.03]",1.48,0.13,"[1.28, 1.69]",1.85,0.14,"[1.63, 2.09]"
pdf,3.42,1.95,"[0.50, 6.18]",3.05,1.45,"[0.77, 5.15]",3.54,1.81,"[0.80, 6.16]"
