,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu0,3.387,0.194,3.06,3.702,0.002,0.001,8614.0,5327.0,1.0
sigma0,1.747,0.114,1.565,1.94,0.001,0.001,7691.0,6331.0,1.0
mu1,3.729,0.215,3.374,4.068,0.002,0.002,8363.0,4981.0,1.0
sigma1,1.834,0.112,1.649,2.017,0.001,0.001,8228.0,6308.0,1.0
mu[0],3.387,0.194,3.06,3.702,0.002,0.001,8614.0,5327.0,1.0
mu[1],3.729,0.215,3.374,4.068,0.002,0.002,8363.0,4981.0,1.0
sigma[0],1.747,0.114,1.565,1.94,0.001,0.001,7691.0,6331.0,1.0
sigma[1],1.834,0.112,1.649,2.017,0.001,0.001,8228.0,6308.0,1.0
