,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha[0],3.353,0.633,2.205,4.574,0.008,0.006,5665.0,5436.0,1.0
alpha[1],3.415,0.621,2.285,4.626,0.009,0.006,4889.0,4621.0,1.0
beta[0],0.989,0.169,0.676,1.308,0.002,0.002,5378.0,4872.0,1.0
beta[1],0.937,0.158,0.636,1.235,0.002,0.002,5047.0,4216.0,1.0
mu[0],3.432,0.609,2.268,4.53,0.006,0.005,10010.0,5764.0,1.0
mu[1],3.681,0.582,2.64,4.833,0.006,0.004,10762.0,5865.0,1.0
sigma[0],1.882,0.285,1.378,2.416,0.003,0.002,7864.0,5999.0,1.0
sigma[1],2.003,0.283,1.506,2.529,0.003,0.002,7744.0,5591.0,1.0
