,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha[0],2.731,0.562,1.674,3.771,0.008,0.005,5367.0,5126.0,1.0
alpha[1],2.974,0.567,1.938,4.06,0.008,0.006,4871.0,5077.0,1.0
beta[0],0.958,0.174,0.636,1.286,0.002,0.002,5436.0,5019.0,1.0
beta[1],0.909,0.162,0.603,1.213,0.002,0.002,5070.0,4304.0,1.0
mu[0],2.892,0.558,1.913,3.993,0.006,0.004,9634.0,5655.0,1.0
mu[1],3.312,0.557,2.337,4.423,0.005,0.004,11035.0,5885.0,1.0
sigma[0],1.759,0.286,1.256,2.295,0.003,0.002,8105.0,6245.0,1.0
sigma[1],1.932,0.292,1.425,2.47,0.003,0.002,7974.0,5746.0,1.0
