,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha[0],3.083,0.694,1.735,4.331,0.009,0.006,5896.0,4922.0,1.0
alpha[1],3.281,0.665,1.991,4.496,0.009,0.006,5768.0,4266.0,1.0
beta[0],0.896,0.17,0.587,1.225,0.002,0.002,5987.0,4559.0,1.0
beta[1],0.89,0.163,0.571,1.183,0.002,0.001,5837.0,4363.0,1.0
mu[0],3.496,0.757,2.149,4.993,0.007,0.005,10247.0,5297.0,1.0
mu[1],3.742,0.72,2.43,5.135,0.007,0.005,10130.0,5733.0,1.0
sigma[0],2.0,0.353,1.381,2.677,0.004,0.003,8556.0,5624.0,1.0
sigma[1],2.076,0.341,1.489,2.726,0.004,0.003,7976.0,6146.0,1.0
