,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha[0],3.246,0.639,2.064,4.445,0.008,0.006,6063.0,4928.0,1.0
alpha[1],3.656,0.782,2.161,5.081,0.01,0.007,6651.0,5065.0,1.0
beta[0],0.922,0.167,0.602,1.229,0.002,0.002,6038.0,4650.0,1.0
beta[1],0.875,0.166,0.565,1.18,0.002,0.001,6986.0,5048.0,1.0
mu[0],3.579,0.692,2.344,4.904,0.007,0.005,10099.0,5955.0,1.0
mu[1],4.266,0.972,2.393,6.004,0.01,0.007,9736.0,5771.0,1.0
sigma[0],1.995,0.328,1.405,2.599,0.004,0.003,8343.0,5888.0,1.0
sigma[1],2.237,0.416,1.506,3.021,0.004,0.003,8984.0,5256.0,1.0
