,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha[0],3.133,0.629,1.989,4.356,0.008,0.006,6093.0,4830.0,1.0
alpha[1],3.069,0.655,1.835,4.279,0.008,0.006,6633.0,5196.0,1.0
beta[0],0.926,0.169,0.608,1.241,0.002,0.002,5993.0,5113.0,1.0
beta[1],0.936,0.175,0.626,1.278,0.002,0.001,7188.0,4791.0,1.0
mu[0],3.436,0.67,2.234,4.731,0.007,0.005,10251.0,6007.0,1.0
mu[1],3.349,0.767,1.974,4.814,0.008,0.006,9915.0,5352.0,1.0
sigma[0],1.95,0.322,1.387,2.556,0.004,0.003,8606.0,6009.0,1.0
sigma[1],1.916,0.357,1.314,2.606,0.004,0.003,9345.0,5615.0,1.0
