,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha[0],3.21,0.612,2.075,4.369,0.008,0.006,5456.0,5122.0,1.0
alpha[1],3.787,0.699,2.464,5.071,0.01,0.007,5259.0,4812.0,1.0
beta[0],0.953,0.167,0.649,1.273,0.002,0.002,5366.0,4796.0,1.0
beta[1],0.893,0.155,0.593,1.177,0.002,0.001,5401.0,4367.0,1.0
mu[0],3.409,0.588,2.341,4.501,0.006,0.004,11130.0,5960.0,1.0
mu[1],4.298,0.746,2.893,5.684,0.007,0.005,11780.0,6197.0,1.0
sigma[0],1.913,0.287,1.397,2.441,0.003,0.002,8194.0,6126.0,1.0
sigma[1],2.219,0.339,1.632,2.86,0.004,0.003,8438.0,6056.0,1.0
